gpu,model,scenario_input_len,scenario_parallel,ttft,gen_tokens_per_second,total_time,total_concurrent_time
A2_x1,Qwen3-0.6B,1000,1,0.11,93.45,1.18,1.49
A2_x1,Qwen3-0.6B,1000,2,0.16,73.25,1.53,1.91
A2_x1,Qwen3-0.6B,1000,5,0.36,55.49,2.18,2.64
A2_x1,Qwen3-0.6B,5000,1,0.68,73.64,2.04,2.38
A2_x1,Qwen3-0.6B,5000,2,1.06,44.78,3.32,3.69
A2_x1,Qwen3-0.6B,5000,5,2.14,24.53,6.41,6.99
A2_x1,Qwen3-0.6B,10000,1,1.81,58.2,3.53,3.85
A2_x1,Qwen3-0.6B,10000,2,2.77,28.38,6.51,6.92
A2_x1,Qwen3-0.6B,10000,5,5.75,12.88,11.85,13.94
A2_x1,Qwen3-0.6B,15000,1,3.46,48.64,5.52,5.91
A2_x1,Qwen3-0.6B,15000,2,5.35,21.13,10.63,11.08
A2_x1,Qwen3-0.6B,15000,5,11.08,9.54,17.53,22.67
A2_x1,Qwen3-0.6B,20000,1,5.53,41.55,7.94,8.32
A2_x1,Qwen3-0.6B,20000,2,8.48,19.34,13.48,14.78
A2_x1,Qwen3-0.6B,20000,5,17.67,8.69,24.06,33.14
A2_x1,Qwen3-0.6B,25000,1,8.13,36.18,10.9,11.34
A2_x1,Qwen3-0.6B,25000,2,12.58,18.72,17.99,20.02
A2_x1,Qwen3-0.6B,25000,5,25.69,8.37,32.45,46.43
A2_x1,Qwen3-0.6B,30000,1,11.2,31.95,14.33,14.7
A2_x1,Qwen3-0.6B,30000,2,17.18,16.62,22.59,26.66
A2_x1,Qwen3-0.6B,30000,5,35.17,7.54,41.96,62.63
A2_x1,Qwen3-1.7B,1000,1,0.24,41.74,2.64,2.99
A2_x1,Qwen3-1.7B,1000,2,0.33,34.92,3.2,3.57
A2_x1,Qwen3-1.7B,1000,5,0.74,29.27,4.19,4.66
A2_x1,Qwen3-1.7B,5000,1,1.35,37.36,4.02,4.42
A2_x1,Qwen3-1.7B,5000,2,2.12,26.07,6.02,6.42
A2_x1,Qwen3-1.7B,5000,5,4.2,14.96,10.25,11.54
A2_x1,Qwen3-1.7B,10000,1,3.13,33.01,6.16,6.53
A2_x1,Qwen3-1.7B,10000,2,4.71,18.56,10.33,10.89
A2_x1,Qwen3-1.7B,10000,5,9.75,8.6,16.28,20.95
A2_x1,Qwen3-1.7B,15000,1,5.39,29.16,8.82,9.25
A2_x1,Qwen3-1.7B,15000,2,8.37,15.47,13.88,15.4
A2_x1,Qwen3-1.7B,15000,5,16.75,7.01,23.32,32.36
A2_x1,Qwen3-1.7B,20000,1,8.16,26.64,11.91,12.26
A2_x1,Qwen3-1.7B,20000,2,12.37,13.9,18.11,20.74
A2_x1,Qwen3-1.7B,20000,5,25.31,6.2,32.41,46.39
A2_x1,Qwen3-1.7B,25000,1,11.34,24.5,15.42,15.79
A2_x1,Qwen3-1.7B,25000,2,17.35,12.69,23.49,27.62
A2_x1,Qwen3-1.7B,25000,5,35.07,5.78,42.24,63.16
A2_x1,Qwen3-1.7B,30000,1,14.93,22.44,19.38,19.74
A2_x1,Qwen3-1.7B,30000,2,22.87,11.76,29.05,35.43
A2_x1,Qwen3-1.7B,30000,5,46.15,5.4,53.37,82.14
A2_x1,Qwen3-4B,1000,1,0.6,19.11,5.83,6.14
A2_x1,Qwen3-4B,1000,2,0.9,16.76,6.88,7.26
A2_x1,Qwen3-4B,1000,5,1.92,14.29,8.59,9.38
A2_x1,Qwen3-4B,5000,1,3.33,17.96,8.9,9.21
A2_x1,Qwen3-4B,5000,2,5.18,12.86,11.81,13.11
A2_x1,Qwen3-4B,5000,5,10.16,5.77,17.46,23.25
